ID tau tau_16 tau_84 age age_16 age_84 EBVgal EBVgal_16 EBVgal_84 Tdust Tdust_16 Tdust_84 fracPAH fracPAH_16 fracPAH_84 Nh Nh_16 Nh_84 EBVbbb EBVbbb_16 EBVbbb_84 GA GA_16 GA_84 SB SB_16 SB_84 TO TO_16 TO_84 BB BB_16 BB_84 Mstar Mstar_16 Mstar_84 SFR_opt SFR_opt_16 SFR_opt_84 LIR(8-1000) LIR(8-1000)_16 LIR(8-1000)_84 Lbb(0.1-1) Lbb(0.1-1)_16 Lbb(0.1-1)_84 Lbbdered(0.1-1) Lbbdered(0.1-1)_16 Lbbdered(0.1-1)_84 Lga(5-15) Lga(5-15)_16 Lga(5-15)_84 Ltor(5-15) Ltor(5-15)_16 Ltor(5-15)_84 Lsb(5-15) Lsb(5-15)_16 Lsb(5-15)_84 SFR_IR SFR_IR_16 SFR_IR_84 -ln_likelihood -ln_likelihood_16 -ln_likelihood_84 AGNfrac AGNfrac_err
1.100000000000000089e+00 7.695700000000000429e+00 4.438900000000000290e+00 9.530200000000000671e+00 4.995977948532199860e+09 4.993441273764300346e+09 4.996056078397000313e+09 3.479999999999999760e-02 1.000000000000000021e-02 9.009999999999999953e-02 3.117680000000000007e+01 2.749579999999999913e+01 3.281110000000000326e+01 3.440000000000000002e-02 1.039999999999999952e-02 5.380000000000000060e-02 2.326980000000000004e+01 2.225720000000000098e+01 2.394379999999999953e+01 3.215999999999999970e-01 8.899999999999999578e-02 7.549000000000000155e-01 3.961100000000000065e+00 3.883399999999999963e+00 4.045200000000000351e+00 1.046470000000000056e+01 1.032789999999999964e+01 1.062689999999999912e+01 1.153399999999999981e+00 -5.661999999999999922e+00 1.996099999999999985e+00 -5.120300000000000296e+00 -1.191080000000000005e+01 -1.681599999999999984e+00 1.079443709984455261e+11 9.302506882321289062e+10 1.317953233668544006e+11 3.372030000000000172e+01 2.937089999999999890e+01 4.069720000000000226e+01 4.576147348863324153e+46 3.194478724208668561e+46 5.054753713597958763e+46 1.110964035392699875e+40 1.022115560600078749e+36 2.549177050509107353e+43 2.211057312450639154e+40 6.967869367620773855e+36 9.876430227771026312e+43 1.224334253425995470e+43 1.033237119493635940e+43 1.293302151339567573e+43 1.608421982399093543e+45 1.777869993210499101e+40 1.881048528918704456e+46 4.442219354710521597e+45 2.449063241844761734e+45 5.834451042737423325e+45 1.776005300000000034e+03 1.256300099999999929e+03 1.961524100000000089e+03 -1.010870000000000068e+01 -1.195759999999999934e+01 -8.690899999999999181e+00 2.658266938637343202e+01 1.356290018504102761e+02
1.199999999999999956e+00 4.763300000000000090e+00 2.419799999999999951e+00 8.157400000000000873e+00 5.008324810832900047e+09 4.968434347962300301e+09 5.008340807456899643e+09 1.260000000000000009e-01 6.579999999999999738e-02 1.865999999999999881e-01 1.484989999999999988e+01 1.444020000000000081e+01 1.559539999999999971e+01 2.649999999999999925e-02 9.199999999999999845e-03 4.809999999999999692e-02 2.310800000000000054e+01 2.202039999999999864e+01 2.399849999999999994e+01 5.125999999999999446e-01 1.643999999999999906e-01 8.094999999999999973e-01 4.057299999999999685e+00 3.990000000000000213e+00 4.126000000000000334e+00 1.177210000000000001e+01 1.163039999999999985e+01 1.187020000000000053e+01 -5.868100000000000094e+00 -8.665800000000000836e+00 -1.914900000000000047e+00 -6.059400000000000119e+00 -1.224820000000000064e+01 -1.398600000000000065e+00 1.226309238308737030e+11 1.030386120441615906e+11 1.420365124048012390e+11 3.291590000000000060e+01 2.270730000000000004e+01 4.235040000000000049e+01 1.655769963469532681e+46 1.284990745822949453e+46 1.788545529107761936e+46 4.775292736576930869e+39 1.237086307489274192e+30 2.309936280173175855e+41 3.318944575526109887e+40 1.030623402930823014e+31 1.422001321518889173e+42 1.304667968639887026e+43 1.013677950888642193e+43 1.595144386927614626e+43 2.612161354399216020e+41 1.159845121190164482e+39 8.757900363063667906e+42 1.542055483470467501e+45 8.513340425432345405e+44 2.453013848360864683e+45 6.425104000000000042e+02 4.986607999999999947e+02 6.940232999999999493e+02 -1.439840000000000053e+01 -1.630839999999999890e+01 -1.325430000000000064e+01 1.693660812378336433e-02 7.613338628719636125e-02
1.300000000000000044e+00 4.221499999999999808e+00 1.417999999999999927e+00 8.076900000000000190e+00 4.998012962954400063e+09 4.652951391260000229e+09 5.003836637763899803e+09 8.659999999999999643e-02 2.309999999999999901e-02 1.912999999999999978e-01 3.256810000000000116e+01 3.069819999999999993e+01 3.387369999999999948e+01 1.969999999999999876e-02 6.700000000000000226e-03 4.220000000000000140e-02 2.279710000000000036e+01 2.198600000000000065e+01 2.395390000000000086e+01 4.325999999999999845e-01 1.562999999999999945e-01 7.824999999999999734e-01 3.734100000000000197e+00 3.598700000000000010e+00 3.850900000000000212e+00 1.018479999999999919e+01 1.008109999999999928e+01 1.031799999999999962e+01 -6.649000000000000021e+00 -9.611499999999999488e+00 -2.023299999999999876e+00 -7.789299999999999891e+00 -1.233900000000000041e+01 -3.845000000000000084e-01 2.699603608615012360e+10 1.980158708082409668e+10 3.687228058871228790e+10 5.302100000000000257e+00 1.462800000000000100e+00 8.483000000000000540e+00 1.298374567614818094e+46 1.241366439496034554e+46 1.344311766671313531e+46 6.739070504398643779e+32 3.014393884279459487e+29 4.416721344129761669e+40 3.243396173493513488e+33 1.050025872110885124e+30 4.944245193336807726e+41 2.524643145948251552e+42 2.333995422719459776e+42 2.681019668090633138e+42 3.047894989627995746e+37 1.654626593050545653e+34 2.244915507569582867e+42 9.915166238050474131e+44 6.998419960022716641e+44 1.385479167566712851e+45 5.037662000000000262e+02 4.816829000000000178e+02 5.215970999999999549e+02 -4.119789999999999708e+01 -4.313680000000000092e+01 -3.987590000000000146e+01 3.073972561589465490e-06 2.880039077425625138e-05
2.100000000000000089e+00 4.410000000000000142e+00 2.455999999999999961e+00 7.727500000000000036e+00 9.353590249423200607e+09 9.194606181143499374e+09 9.381295281437400818e+09 1.032000000000000001e-01 2.560000000000000123e-02 1.872000000000000053e-01 2.290500000000000114e+01 2.166720000000000113e+01 2.404439999999999955e+01 1.009999999999999960e-02 4.300000000000000003e-03 2.350000000000000006e-02 2.287229999999999919e+01 2.195179999999999865e+01 2.398979999999999890e+01 7.267000000000000126e-01 3.259000000000000230e-01 8.988000000000000433e-01 4.351200000000000401e+00 4.089999999999999858e+00 4.482599999999999696e+00 1.106889999999999930e+01 1.097100000000000009e+01 1.116849999999999987e+01 -5.313699999999999868e+00 -8.272899999999999920e+00 -2.061100000000000154e+00 7.110999999999999543e-01 -1.267600000000000060e+00 1.202900000000000080e+00 7.336687144183609009e+10 4.325138310350079346e+10 9.678320504881584167e+10 2.022899999999999920e+00 1.216499999999999915e+00 5.039399999999999658e+00 9.618337232872182864e+45 9.326098541743053072e+45 1.011579454259904537e+46 3.212920651141273259e+43 8.450842349196593796e+36 6.880183161430411270e+43 5.350569381731378076e+44 1.344930987688131562e+38 1.273503081016652467e+45 3.432416650121220328e+42 2.852331512298996572e+42 3.969172740094738483e+42 5.168922254317573324e+39 2.660725059798792237e+36 3.654264677506547871e+41 5.520774392807539606e+44 4.709773263969548609e+44 1.021880236888438722e+45 3.732413999999999987e+02 3.618521000000000072e+02 3.924938000000000216e+02 -4.002740000000000009e+01 -4.258899999999999864e+01 -3.829970000000000141e+01 9.362588455995864796e-04 5.549881169887371096e-03
2.200000000000000178e+00 6.623199999999999754e+00 2.607699999999999907e+00 9.493999999999999773e+00 5.000110778933600426e+09 4.636366301900400162e+09 5.391040925194000244e+09 2.919999999999999818e-01 1.190999999999999975e-01 5.228000000000000425e-01 2.623880000000000123e+01 2.482750000000000057e+01 2.757750000000000057e+01 2.649999999999999925e-02 8.999999999999999320e-03 4.739999999999999769e-02 2.272990000000000066e+01 2.183480000000000132e+01 2.391329999999999956e+01 4.050000000000000266e-01 1.025999999999999968e-01 7.883999999999999897e-01 3.649900000000000144e+00 3.469599999999999795e+00 3.833299999999999930e+00 1.071260000000000012e+01 1.061369999999999969e+01 1.081209999999999916e+01 -3.804699999999999971e+00 -7.912700000000000067e+00 -1.445799999999999974e+00 -4.347199999999999953e+00 -1.152860000000000085e+01 -5.699999999999999512e-01 1.674557250575118065e+10 1.101032148729771805e+10 2.727093322683905792e+10 4.549699999999999633e+00 1.852999999999999980e+00 7.120099999999999874e+00 1.090435545543653442e+46 1.045201441458430802e+46 1.164394110197413263e+46 4.367169015041559763e+42 2.213604352166937480e+33 5.831764797316408369e+43 1.642857898137279716e+43 2.348010312455178869e+34 3.190068435975198984e+44 2.141410855878584027e+42 1.680350966051528437e+42 3.195214364808221609e+42 1.522649695567939471e+41 6.273356959840372299e+37 7.796505686758146923e+41 8.617871220404155055e+44 5.878953159960776860e+44 1.314014023039039770e+45 4.231193000000000097e+02 4.055532999999999788e+02 4.518808000000000220e+02 -2.521049999999999969e+01 -2.693789999999999907e+01 -2.406050000000000111e+01 1.766539177249969519e-02 8.355976294606425048e-02
3.100000000000000089e+00 7.687899999999999956e+00 4.341099999999999959e+00 9.282899999999999707e+00 5.101418461083000183e+09 5.101271072329600334e+09 5.107150941782500267e+09 1.922999999999999987e-01 1.267999999999999960e-01 3.736999999999999766e-01 3.726989999999999981e+01 3.601200000000000045e+01 3.828220000000000312e+01 3.590000000000000135e-02 1.089999999999999997e-02 5.430000000000000104e-02 2.328579999999999828e+01 2.208399999999999963e+01 2.396039999999999992e+01 3.299000000000000266e-01 6.890000000000000291e-02 7.245000000000000329e-01 4.530700000000000394e+00 4.453599999999999781e+00 4.593399999999999928e+00 1.016259999999999941e+01 1.009590000000000032e+01 1.023760000000000048e+01 -3.229200000000000070e+00 -7.761199999999999655e+00 -2.566999999999999837e-01 -7.246000000000000218e-01 -9.383200000000000429e+00 7.981000000000000316e-01 3.157911828632249146e+11 2.694014941063672180e+11 3.629108896409470215e+11 5.811180000000000234e+01 4.480380000000000251e+01 7.319089999999999918e+01 6.419482215080319953e+46 6.011737374832828696e+46 6.677286334642717897e+46 1.344621341534484556e+42 3.045089066974241613e+32 5.443772909066493695e+44 4.317178444709203811e+42 5.180837850719901529e+33 1.479108388168213362e+45 2.739681013531019606e+43 2.184741206479033588e+43 3.144850465476949600e+43 1.683061555701671573e+40 5.602733947937925940e+35 4.930602595627964480e+42 9.558725718846979458e+45 4.745696931912402166e+45 1.048576209380776804e+46 2.491369099999999889e+03 2.333519400000000132e+03 2.590633699999999862e+03 -9.204700000000000770e+00 -1.106060000000000088e+01 -7.957399999999999807e+00 1.760756236495045809e-04 1.409477837421303434e-03
3.200000000000000178e+00 2.181400000000000006e+00 9.344000000000000083e-01 6.734499999999999709e+00 4.997778046250499725e+09 4.953512089264599800e+09 4.997870139351900101e+09 8.315000000000000169e-01 7.617000000000000437e-01 8.995999999999999552e-01 1.485120000000000040e+01 1.441549999999999976e+01 1.662730000000000175e+01 2.630000000000000046e-02 8.500000000000000611e-03 4.830000000000000265e-02 2.289730000000000132e+01 2.184779999999999944e+01 2.399299999999999855e+01 5.171000000000000041e-01 1.540999999999999870e-01 8.414000000000000368e-01 4.329200000000000159e+00 4.246400000000000396e+00 4.427800000000000402e+00 1.066339999999999932e+01 1.028120000000000012e+01 1.079529999999999923e+01 -5.348200000000000287e+00 -8.411500000000000199e+00 -2.286799999999999944e+00 -8.374000000000000554e+00 -1.237299999999999933e+01 -2.780199999999999783e+00 2.924825766334567642e+10 2.407132519050173187e+10 3.740244560424051666e+10 4.913000000000000256e+00 1.250499999999999945e+00 7.787700000000000067e+00 1.443111873665042012e+44 1.169230134833926211e+44 1.671090614310703715e+44 2.565665297034858840e+37 1.811757217110547444e+32 1.526159765625456915e+40 2.814491879812128064e+38 2.162220596711866473e+33 8.007556285067029311e+40 3.685530418524774768e+42 3.238172647313260014e+42 3.949116993489742097e+42 2.014187980393195017e+39 9.924302650467707289e+34 4.527933083871721711e+40 1.308579161245092767e+43 8.029712576698594057e+42 2.201405260828147502e+43 5.608799999999999564e+00 4.551599999999999646e+00 6.486600000000000144e+00 -6.048400000000000176e+01 -6.282189999999999941e+01 -5.892830000000000013e+01 1.538980644354315946e-02 1.005550570106672342e-01
5.099999999999999645e+00 4.564300000000000246e+00 1.991999999999999993e+00 8.291399999999999437e+00 5.646634228350999832e+09 4.229850250839700222e+09 6.877035362970700264e+09 3.241999999999999882e-01 1.071000000000000008e-01 6.998999999999999666e-01 2.659639999999999915e+01 2.576960000000000051e+01 2.758950000000000102e+01 3.230000000000000232e-02 1.069999999999999944e-02 5.199999999999999761e-02 2.318690000000000140e+01 2.208040000000000092e+01 2.404530000000000101e+01 1.491000000000000103e-01 1.318999999999999895e-01 1.670000000000000095e-01 4.469100000000000072e+00 4.086800000000000210e+00 4.652199999999999669e+00 1.080289999999999928e+01 1.073179999999999978e+01 1.086999999999999922e+01 -4.028599999999999959e+00 -7.879500000000000171e+00 -6.419999999999999318e-02 2.167300000000000004e+00 2.145500000000000185e+00 2.185900000000000176e+00 1.412212333276178589e+11 4.428942071986359406e+10 1.917343828919083252e+11 1.724960000000000093e+01 1.251500000000000057e+00 3.525030000000000285e+01 1.827258538699776853e+46 1.794320421716851596e+46 1.916461062735381316e+46 8.904304435937348931e+45 8.564460288900514304e+45 9.113810621292912545e+45 2.401043343569330864e+46 2.309404458919280771e+46 2.456970827636836232e+46 9.495109992021963753e+42 1.168960940639358710e+41 1.364583136588918342e+43 8.968090867156048043e+42 1.395725457706755878e+36 4.897788193684436344e+44 1.355189412351029446e+45 1.026124365193347554e+45 2.598364056787756986e+45 7.089959999999999809e+02 6.962771999999999935e+02 7.437315999999999576e+02 -1.362439999999999962e+01 -1.575590000000000046e+01 -1.233339999999999925e+01 6.574087556605020533e-01 6.432244179487065949e+00
6.099999999999999645e+00 5.104700000000000237e+00 2.265600000000000058e+00 8.172399999999999665e+00 8.260735729767200470e+09 5.500034013854000092e+09 8.262143424505599976e+09 5.621000000000000441e-01 1.761999999999999955e-01 8.227999999999999758e-01 2.478740000000000165e+01 2.385960000000000036e+01 2.585859999999999914e+01 3.399999999999999811e-03 2.799999999999999972e-03 5.499999999999999681e-03 2.288439999999999941e+01 2.204700000000000060e+01 2.395230000000000103e+01 1.516000000000000125e-01 1.335999999999999965e-01 1.678000000000000047e-01 1.202700000000000102e+00 1.879000000000000115e-01 2.517599999999999838e+00 1.094679999999999964e+01 1.085999999999999943e+01 1.102200000000000024e+01 -6.397599999999999731e+00 -9.331599999999999895e+00 -2.037599999999999856e+00 2.117799999999999905e+00 2.103000000000000203e+00 2.131299999999999972e+00 4.119077848677373677e+07 5.742486726287829690e+06 9.111712330429192781e+08 3.899999999999999821e-03 2.999999999999999737e-04 6.519999999999999407e-02 1.227439231158403318e+46 1.169768709211489579e+46 1.301967070064148390e+46 5.462607542126958041e+45 5.311289818550143194e+45 5.646768716165404282e+45 1.472990683541766428e+46 1.431858163786486342e+46 1.522649695567939499e+46 1.142878334789771223e+40 1.198119123190029165e+39 3.933688806732014200e+40 4.067241872642579761e+36 4.680583528968175636e+34 5.941553335422113880e+42 5.927888141955779726e+44 5.468900223137984304e+44 6.072954118270242390e+44 4.762413000000000238e+02 4.539726999999999748e+02 5.051628000000000043e+02 -6.659310000000000684e+01 -6.846639999999999304e+01 -6.517709999999999582e+01 6.861198705740970780e-07 6.401334599608607421e-06
7.099999999999999645e+00 2.301099999999999923e+00 1.114400000000000057e+00 7.412399999999999878e+00 5.115687262444899559e+09 4.937447512591500282e+09 6.698043215737400055e+09 1.774000000000000021e-01 4.870000000000000023e-02 2.899999999999999800e-01 3.290039999999999765e+01 3.211119999999999663e+01 3.375280000000000058e+01 4.039999999999999841e-02 3.389999999999999958e-02 4.739999999999999769e-02 2.286240000000000094e+01 2.196189999999999998e+01 2.394579999999999842e+01 2.793999999999999817e-01 2.416999999999999982e-01 3.211999999999999855e-01 5.074900000000000411e+00 4.854300000000000281e+00 5.197400000000000020e+00 1.062400000000000055e+01 1.055630000000000024e+01 1.068629999999999924e+01 -4.948699999999999655e+00 -8.249499999999999389e+00 -1.001500000000000057e+00 1.970900000000000096e+00 1.909100000000000019e+00 2.047899999999999832e+00 5.646768716165358887e+11 2.935621096191427002e+11 6.955045892395349121e+11 3.111600000000000144e+00 2.369099999999999984e+00 8.973900000000000432e+01 3.603296501281594801e+46 3.505096668066918917e+46 3.815047942794369517e+46 2.791900908278545556e+45 2.659500032721504111e+45 2.997781671582363256e+45 1.295388388974891174e+46 1.164662252719337248e+46 1.518448266141210544e+46 3.365115693754915199e+43 2.968246743463218858e+43 3.852121705981051666e+43 4.077556617502109950e+36 6.782659260153665192e+35 7.133456216702188507e+42 4.424864743556623147e+45 4.367169015041559946e+45 4.693534343171970223e+45 1.398122800000000097e+03 1.360122800000000097e+03 1.480238000000000056e+03 -1.337490000000000023e+01 -1.574770000000000003e+01 -1.177679999999999971e+01 9.215098878857793161e-08 7.449800572269415534e-07
